help	बचाओ
in akhilesh yadavs government rajaram pandey was the khadi and rural industry minister and was the mla from the pratapgarhs vishwanathganj constituency three times	प्रतापगढ़ जिले के विश्वनाथगंज क्षेत्र से तीन बार विधायक रहे राजा राम पांडेय अखिलेश यादव सरकार में खादी एवं ग्रामोद्योग मंत्री रह चुके थे।
he was removed from the cabinet on the 15th of april due to offensive remarks he made about women officers	उन्हें महिला अधिकारियों के लिए अभद्र टिप्पणी करने के मामले में 15 अप्रैल को मंत्रिमंडल से हटा दिया गया था।
in one program while praising the beauty of the sultanpur dm he said i am very fortunate that i have become the minister in charge of this zone for a second time	एक कार्यक्रम में सुल्तानपुर की डीएम की खूबसूरती की तारीफ करते हुए उन्होंने कहा था यह मेरा सौभाग्य है कि मैं दूसरी बार इस जिले का प्रभारी मंत्री बना हूं।
i always get the chance to work with a beautiful dm here	मुझे यहां हर बार किसी खूबसूरत डीएम के साथ काम करने का मौका मिला है।
when i saw the former dm kamini chauhan ratan i felt that there could be no woman more beautiful than her but the new dm dhanlaxmi is even more beautiful than her	जब मैंने जिले की पूर्व डीएम कामिनी चौहान रतन को देखा तो लगा कि उनसे खूबसूरत महिला हो ही नहीं सकती है लेकिन यह नई डीएम धनलक्ष्मी तो उनसे भी खूबसूरत हैं।
the tone of her voice is also better	इनके बात करने का लहजा भी बेहतर है।
rajaram pandey also said this in pratapgarh the roads are going to shine like the cheeks of hema malini and as of now only the facial is taking place	राजाराम पांडे ने प्रतापगढ़ में यह भी कहा था सड़कें हेमा मालिनी के गाल की तरह चमकेंगी अभी तो इसकी फेशियल हो रही है।
this statement caused a big fuss	इस बयान को लेकर खासा बवाल मचा था।
chandigarh on one hand the punjab government has passed the special bill in the punjab for the safety of the properties of nri punjabies while on the other hand emigrant punjabies have fresh problems in canada	चंडीगढ़ एक तरफ पंजाब सरकार ने एनआरआई पंजाबियों को पंजाब में उनकी जमीनजायदाद की सुरक्षा के लिए विशेष बिल पास किया है तो वहीं कैनेडा में प्रवासी पंजाबियों को एक नई आफत ने घेर लिया है।
the canadian government is questioning nris about the income from their properties and the amount they received as pension etc from the punjab or india	कैनेडा सरकार एनआरआई से पंजाब या भारत में अपनी जमीन जायदाद से होने वाली आय और पेंशन आदि से मिलने वाली रकम का हिसाबकिताब पूछ रही है।
through a special unit the federal government questioned pension holders in canada about the income they are earning from their properties in other countries	फेडरल सरकार ने एक विशेष सेल के जरिए कैनेडा में पेंशन होल्डर्स की दूसरे देशों में जमीन जायदाद से होने वाली आय के बारे में पता लगाया।
the government is receiving these kinds of complaints and information about people who came from abroad who are receiving all the financial benefits in canada	सरकार को इस तरह की शिकायतें और जानकारी मिल रही हैं कि दूसरे देशों से आए लोग कैनेडा में सभी वित्तीय लाभ ले रहे हैं।
according to canadian law after obtaining canadian citizenship the income received from abroad must be added to their total income but people are not doing it	कैनेडियन नियमों के अनुसार कैनेडियन नागरिकता प्राप्त करने के बाद दूसरे देशों में होने वाली आय भी उनकी कुल आय में जुड़ेगी जबकि लोग ऐसा नहीं कर रहे हैं।
even after obtaining canadian citizenship thousands of people from the punjab have not declared their income from properties and pension benefits etc in the punjab in their canadian income tax returns	पंजाब से भी हजारों लोगों ने कैनेडियन नागरिकता लेने के बावजूद पंजाब में जमीन जायदाद से होने वाली आय और पेंशन आदि लाभ का जिक्र कैनेडियन इनकम टैक्स रिटर्न में नहीं किया है।
many revenue department officials are continuously asking the canadian chartered accountants to force foreigners to declare their income which they are earning in other countries so that they can calculate the appropriate tax on the income they are earning in canada	कैनेडा के रेवन्यू विभाग के कई अधिकारी लगातार कैनेडियन चार्टर्ड अकाउंटेंट्स से कह रहे हैं कि वे विदेशी मूल के कैनेडियनों की विदेश में होने वाली आय को घोषित करवाने पर जोर दे ताकि उन्हें कैनेडा में होने वाली आय पर सही टैक्स गणना की जा सके।
a delegation of the association of seniors club met with an mp from punjab param gill and demanded security for their benefits in this regard	एसोसिएशन ऑफ सीनियर्स क्लब का एक डेलिगेशन पंजाबी मूल के एमपी परम गिल से मिला और इस संबंध में अपने हितों की रक्षा करने की मांग की।
param gill says that as per the information provided to him if any person makes a complaint against any other person regarding this issue to revenue canada then hisher income can be investigated but he does not have any concrete information about the investigation	परम गिल का कहना है कि उनकी जानकारी के अनुसार अगर कोई व्यक्ति किसी के बारे में इस तरह की शिकायत रेवेन्यू कैनेडा में करता है तो उसकी आय की जांच तो हो सकती है लेकिन एनआरआई की आय की जांच के बारे में उन्हें ठोस जानकारी नहीं है।
this delegation also met with mpp wick dhilon earlier and soon they will also meet with other mps and mpps	इससे पहले डेलिगेशन एमपीपी विक ढिल्लों को भी मिल चुका है और आने वाले दिनों में कई अन्य एमपी और एमपीपी से भी मिलेगा।
the punjab government passed the punjab tenancy bill and agricultural land amendment bill and the punjab security of land tenures for the security of the nris property	पंजाब सरकार ने एनआरआई की जमीन जायदाद की सुरक्षा के लिए पंजाब टेनेसी एंड एग्रीकल्चरल लैंड अमेंडमेंट बिल और पंजाब सिक्योरिटी ऑफ लैंड टैन्यूयर्स बिल को पास किया है।
the nri along with armed forces personnel have been providing security for their land	एनआरआई के साथ ही सेना कर्मियों की जमीन को भी सुरक्षा प्रदान की गई है।
according to this bill an nri punjabi can rent hisher land and houseshop at a fixed point in time	इस बिल के अनुसार एनआरआई पंजाबी अपनी जमीन एवं मकानदुकान एक तय समय सीमा के लिए किराए पर दे सकते हैं।
they can get them back when needed by giving the fixed notice	जरूरत पडऩे पर वे एक तय नोटिस देकर इन्हें वापस प्राप्त कर सकते हैं।
the tenants will not have stay and no other option will be available	किराएदारों को स्टे या कोई भी अन्य विकल्प प्राप्त नहीं होगा।
the nri will have to give proof of ownership to the sdm and they will have to tell them their requirements	एनआरआई को जगह का मालिक होने का प्रमाण एसडीएम को देना होगा और अपनी जरूरत बतानी होगी।
this legislation provides relief for the first five years of the lease	ये कानून लीज के पहले पांच साल तक ही राहत प्रदान करेगा।
approximately 15 crore comes from people from the punjab residing in different countries while their property is still in the punjab	पंजाब से करीब 15 करोड़ लोग विभिन्न देशों में रहते हैं जबकि उनकी जमीन जायदाद अभी भी पंजाब में है।
they keep demanding the security of their property from the punjab government	जिनकी सुरक्षा को लेकर वे अक्सर पंजाब सरकार के पास अपनी मांग रखते रहे हैं।
gold silver and utensils are popular purchases on this day	इस दिन विशेष रूप से सोनाचांदी व बर्तनों की खरीददारी होती है।
because of this utensil sellers have already decorated their shops	जिसके चलते बाजार में बर्तन विक्रेताओं की दुकानें सज चुकी हैं।
to attract customers shopkeepers have displayed a variety of utensils inside and outside the shop	ग्राहकों को आकर्षित करने के लिए दुकानदारों ने बर्तनों की वैराइटी दुकानें के अंदर और बाहर लगा दी हैं।
however the effect of high price rises can be seen clearly in the market	हालांकि महंगाई की मार बाजार में साफ नजर आ रही है।
according to the hindu religious book buying metallic things during the dhanteras festival has a special significance	शास्त्रों में धनतेरस के पर्व पर धातु की चीजें खरीदने का विशेष महत्व है।
people not only buy small pieces of gold and silver jewellery but also buy brass and silver utensils as per their capacity	लोग अपनी क्षमता के मुताबिक सोने व चांदी के छोटे जेवरों के अलावा स्टील पीतल व चांदी के बर्तनों की भी खरीददारी करते हैं।
kitchen utensil sellers kali das and madan lal said that this time the price rise has been significant	बर्तन विक्रेता काली दास व मदन लाल ने बताया कि इस बार काफी मंहगाई हो गई है।
due to the increase in price of steel copper and brass wholesale goods have also become expensive	बर्तनों की कीमतों में भी इजाफा होने से स्टील तांबा व पीतल के दाम बढ़ने की वजह से थोक सामान भी मंहगा हो गया है।
they said that the price of steel utensils was between rs120 and rs140 per kilogram last year but this year this has increased to rs150 to rs200 per kilogram	उन्होंने बताया कि पिछले वर्ष स्टील के बर्तन के दाम 120 से 140 रूपये प्रति किलोग्राम थे लेकिन इस बार बढ़कर 150 से 200 रूपये प्रति किलोग्राम हो गया है।
similarly in addition to the price of brass copper utensil have also become more expensive	इसी तरह पीतल के दाम के अलावा तांबे के बर्तन भी महंगे हो गए हैं।
vikas who sells things used for puja and other brass items in sabzimandi said that as brass has become more expensive things made from brass have also become more expensive	सब्जी मंडी में पूजा में प्रयोग होने वाली ज्योत व अन्य पीतल का समान बेचने वाले विकास ने बताया कि पीतल मंहगी होने के कारण इससे बनने वाला समान भी महंगा हो गया है।
customers are purchasing more smaller items in the market	बाजार में ग्राहक छोटी चीजें ज्यादा खरीद रहे हैं।
utensil seller rajesh said that this market has the maximum number of utensil shops	बर्तन विक्रेता राजेश का कहना था कि इस बजार में सबसे ज्यादा बर्तन की दुकाने हैं।
customers who come from far afield buy things from this market but people are buying fewer things as things are getting more expensive	दूर दराज से आने वाले ग्राहक इसी बजार से समान खरीदते हैं लेकिन बर्तन मंहगे होने के कारण लोग कम खरीददारी कर रहे हैं।
they believe that utensils are getting more expensive due to the festival and they will be cheaper later	उनको लग रहा है कि त्योहार के कारण बर्तन महंगे हुए हैं और बाद में सस्ते हो जाएंगे।
on friday the whole day is auspicious for shopping on the occasion of dhanteras	शुक्रवार को धनतेरस पर लगभग सारा दिन खरीददारी के लिए शुभ है।
according to the astrologer vachspati sunrise will be at 641 am on friday the first of november	ज्योतिष वाचस्पति के अनुसार शुक्रवार एक नवंबर को सुबह 641 पर सूर्योदय हो रहा है।
after this at 950 am there is a vaidhriti yog but most people ignore it	इसके बाद सुबह 950 तक वैधृती योग है लेकिन ज्यादातर इसका विचार नहीं करते।
people who consider this yog can avoid shopping at this time and people who ignore this yog can go shopping	खरीददारी करने वाले इस योग का विचार करने वाले इस अवधि में खरीददारी न करें और जो विचार नहीं करते वह खरीददारी कर सकते हैं।
he said that people must buy gold silver and other metal items on this day as their financial capacity allows	उन्होंने कहा कि इस दिन आर्थिक क्षमता के मुताबिक सोना चांदी व अन्य धातु अवश्य खरीदना चाहिए।
committee members have appealed to people not to use firecrackers	समिति सदस्यों ने लोगों से दीपावली पर पटाखे न जलाने की अपील की।
the rally started from badwala up to the haripur kalsi gate where the children appealed to people to save the environment	रैली बाड़वाला से चलकर हरिपुर कालसी गेट तक निकाली गई जिसमें बच्चों ने पर्यावरण बचाने की लोगों से अपील की।
committee members asked everyone to light earthenware lamps instead of lighting firecrackers and also asked people to avoid the use of polythene bags	इस दौरान समिति सदस्यों ने दीपावली पर पटाखे की जगह दीयों को महत्व देने और पालीथिन के प्रयोग से परहेज करने को कहा।
the ut officials will receive 90 percent of the da starting in july which is equal to the da of central government officials	यूटी कर्मियों को अब जुलाई माह से केंद्र सरकार के कर्मचारियों के बराबर 90 प्रतिशत डीए मिलेगा।
earlier in september the da was raised to 80 from 72 with the approval a rise of 8 da	इससे पहले सितंबर माह में 8 प्रतिशत डीए स्वीकृत करते हुए मंहगाई भत्ता 72 प्रतिशत से बढ़ाकर 80 प्रतिशत कर दिया था।
after this administrative decision the employees of ut chandigarh were very delighted	प्रशासन के इस फैसले के बाद यूटी चंडीगढ़ के कर्मचारियों की खुशी देखते ही बनती है।
among others the president of the ut employees and workers union manmohan singh the general secretary gopal dutt joshi the president of the ut powerworkers union ram saroop vicepresident vijay singh the electrical lift union president jasbir singh and labour leader manmohan singh welcomed this decision taken by the administration	फेडरेशन ऑफ यूटी इम्पलाइज एंड वर्कर्स यूनियन के प्रधान मनमोहन सिंह महासचिव गोपाल दत्त जोशी यूटी पावरमैन यूनियन के प्रधान राम सरूप उपाध्यक्ष विजय सिंह इलेक्ट्रीकल लिफ्ट यूनियन के अध्यक्ष जसबीर सिंह तथा श्रमिक नेता मनमोहन सिंह सहित अन्य ने प्रशासक के इस फैसले का स्वागत किया है।
after this decision the employees will get 10 of the da starting in july	इस निर्णय के बाद कर्मचारियों को जुलाई माह से 10 प्रतिशत डीए दिया जाएगा।
on this occasion labour leaders have demanded that even the employees of the child welfare council should also be given 90 of the da instead of 9	इस मौके पर श्रमिक नेताओं ने भारतीय बाल कल्याण परिषद के कर्मचारियों को मात्र नौ प्रतिशत डीए के स्थान पर उन्हें भी 90 प्रतिशत डीए देने की मांग की।
bjps candidate for pm and gujrats chief minister narendra modi has included 6 new state ministers in his cabinet	भाजपा के पीएम पद प्रत्याशी व गुजरात के मुख्यमंत्री नरेंद्र मोदी ने अपने मंत्रिमंडल में शुक्रवार को 6 नये राज्य मंत्रियों को शामिल किया।
half a dozen people received the green light including the son of the heavyweight vitthal radadiya jayesh comes from saurashtra and has recently joined the bjp after leaving congress	लालबत्ती पाने वाले आधा दर्जन लोगों में कांग्रेस से भाजपा में आए सौराष्ट्र के दबंग सांसद विट्ठल रादडिया के पुत्र जयेश भी हैं।
the former deputy chief minister narhari amin who left congress before the assembly elections and joined the bjp has been appointed as the deputy chairman of the planning commission	विस चुनाव से पहले कांग्रेस छोड़ भाजपा में आए पूर्व उपमुख्यमंत्री नरहरी अमीन को राज्य योजना आयोग का उपाध्यक्ष बनाया गया है।
this ministry expansion is being seen as modis preparation for the lok sabha elections	इस मंत्रिमंडल विस्तार को मोदी की लोकसभा चुनाव की तैयारियों के रूप में देखा जा रहा है।
he has been travelling around a lot to promote his political interests	वह लंबे समय से राजनीतिक प्रवास कर रहे हैं।
after doing a tour of the five states he will organise more aggressive rallies journeys and meetings	पांच राज्यों के विस चुनाव बाद और ज्यादा आक्रामक अंदाज में रैली यात्राएं और सभाएं करेंगे।
in this way he wants to turn guajrat into an impenetrable fortress	ऐसे में वह गुजरात के किले को पूरी तरह से अभेद बना देना चाहते हैं।
	
a black box in your car	आपकी कार में ब्लैक बॉक्स
as americas road planners struggle to find the cash to mend a crumbling highway system many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car	जबकि अमेरिका के सड़क योजनाकार ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं वहीं बहुतसे लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है।
the devices which track every mile a motorist drives and transmit that information to bureaucrats are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding americas major roads	यह डिवाइस जो मोटरचालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है आजकल अमेरिका की प्रमुख सड़कों का वित्तपोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है।
the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances	आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है।
libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive and possibly where you drive them then use the information to draw up a tax bill	आपने द्वारा ड्राइव किए गए मील तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं।
the tea party is aghast	चाय पार्टी भौचक्की है।
the american civil liberties union is deeply concerned too raising a variety of privacy issues	अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है।
and while congress cant agree on whether to proceed several states are not waiting	जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं बहुत से राज्य प्रतीक्षा नहीं कर रहे।
they are exploring how over the next decade they can move to a system in which drivers pay per mile of road they roll over	वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे।
thousands of motorists have already taken the black boxes some of which have gps monitoring for a test drive	हजारों मोटरचालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है जिसमें से कुछ में जीपीएस मॉनीटरिंग है।
this really is a must for our nation	यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है।
it is not a matter of something we might choose to do said hasan ikhrata executive director of the southern california assn of governments which is planning for the state to start tracking miles driven by every california motorist by 2025	यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं जो वर्ष 2025 तक कैलीफोर्निया में मोटरचालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है।
there is going to be a change in how we pay these taxes	हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है।
the technology is there to do it	ऐसा करने के लिए प्रौद्योगिकी है।
the push comes as the countrys highway trust fund financed with taxes americans pay at the gas pump is broke	ऐसा होने का मुख्य कारण यह है कि देश का हाईवे ट्रस्ट फ़ंड लगभग दिवालिया हो गया है जिसका वित्तपोषण अमेरिकी नागरिकों द्वारा गैस पम्प पर किए जाने वाले करों के भुगतान से होता है।
americans dont buy as much gas as they used to	अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते।
cars get many more miles to the gallon	अब एक गैलन गैस में कार पहले से अधिक मील चलती है।
the federal tax itself 184 cents per gallon hasnt gone up in 20 years	फेडरल टैक्स में पिछले 20 वर्षों में कोई बढ़ोतरी नहीं हुई जो 184 सेंट प्रति गैलन है।
politicians are loath to raise the tax even one penny when gas prices are high	गैस के उच्च मूल्य होने के कारण राजनेता टैक्स में एक पैसा भी वृद्धि करने से परहेज करते हैं।
the gas tax is just not sustainable said lee munnich a transportation policy expert at the university of minnesota	मिनेसोटा विश्वविद्यालय में परिवहन नीति विशेषज्ञ ली मुनिख कहते हैं गैस कर बिल्कुल संवहनीय नहीं है।
his state recently put tracking devices on 500 cars to test out a paybymile system	उनके राज्य ने प्रतिमील भुगतान प्रणाली का परीक्षण करने के लिए हाल ही में 500 कारों में ट्रैकिंग डिवाइस लगाई है।
this works out as the most logical alternative over the long term he said	वे कहते हैं दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा।
wonks call it a mileagebased user fee	वॉन्क्स इसे माइलेजआधारित उपयोगकर्ता शुल्क कहते हैं।
it is no surprise that the idea appeals to urban liberals as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases for example	यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है क्योंकि इससे उदाहरण के लिए कार चलाने के तौरतरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है।
california planners are looking to the system as they devise strategies to meet the goals laid out in the states ambitious global warming laws	कैलीफोर्निया के योजनाकार इस सिस्टम के लिए उत्सुक हैं जबकि वे राज्य के महात्वाकांक्षी ग्लोबल वार्मिंग कानूनों में निर्धारित लक्ष्य पूर्ण करने के लिए रणनीतियाँ विकसित कर रहे हैं।
but rep bill shuster rpa chairman of the house transportation committee has said he too sees it as the most viable longterm alternative	लेकिन गृह परिवहन समिति के अध्यक्ष रिप बिल शुस्टर आपीए भी ब्लैक बॉक्स को सबसे व्यवहार्य दीर्घकालिक विकल्प मानते हैं।
the free marketeers at the reason foundation are also fond of having drivers pay per mile	रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।
this is not just a tax going into a black hole said adrian moore vice president of policy at reason	रीजन में पॉलिसी के उपाध्यक्ष एड्रियन मूर ने कहा यह मात्र ऐसा कर नहीं है जो अंधे कुएँ में जा रहा है।
people are paying more directly into what they are getting	लोग जो चीज प्राप्त कर रहे हैं उसके लिए अधिक प्रत्यक्ष रूप से भुगतान कर रहे हैं।
the movement is also bolstered by two former us transportation secretaries who in a 2011 report urged congress to move in the paypermile direction	इस अभियान को दो भूतपूर्व अमेरिकी परिवहन सचिवों ने भी समर्थन दिया है जिन्होंने वर्ष 2011 में अपनी रिपोर्ट में कांग्रेस से प्रतिमील भुगतान की दिशा में आगे बढ़ने का अनुग्रह किया था।
the us senate approved a 90million pilot project last year that would have involved about 10000 cars	यूएस सीनेट ने पिछले वर्ष 90मिलियन डॉलर की परीक्षण परियोजना स्वीकृत की थी जिसमें 10000 कारें शामिल हो गई होतीं।
but the house leadership killed the proposal acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town	लेकिन ग्रामीण विधिनिर्माताओं की चिंताओं पर काम करते हुए जो ऐसे व्यक्तियों का प्रतिनिधि कर रहे थे जिन्हें रोजाना काम पर जाने अथवा शहर में जाने के लिए बहुत अधिक मील चलना पड़ता है सदन के नेतृत्व ने उस प्रस्ताव को वहीं पर समाप्त कर दिया।
several states and cities are nonetheless moving ahead on their own	फिर भी बहुत से राज्य और शहर खुदबखुद इस दिशा में आगे बढ़ रहे हैं।
the most eager is oregon which is enlisting 5000 drivers in the countrys biggest experiment	इसमें सबसे अधिक इच्छुक ऑरेगोन है जिसने देश के सबसे बड़े प्रयोग में 5000 चालक सूचीबद्ध किए हैं।
those drivers will soon pay the mileage fees instead of gas taxes to the state	ये चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे।
nevada has already completed a pilot	नेवाडा ने पहले ही प्रारंभिक परीक्षण पूर्ण कर लिया है।
new york city is looking into one	न्यू यॉर्क शहर भी इस दिशा में आगे बढ़ रहा है।
illinois is trying it on a limited basis with trucks	इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।
and the i95 coalition which includes 17 state transportation departments along the eastern seaboard including maryland pennsylvania virginia and florida is studying how they could go about implementing the change	तथा आई95 गठबंधन जिसमें पूर्वी सीबोर्ड के साथ के 17 राज्य परिवहन विभाग मेरीलैंड पेनसिलवेनिया वर्जीनिया तथा फ्लोरिडा समेत शामिल हैं इस बात का अध्ययन कर रहे हैं कि वे इस परिवर्तन का किस तरह क्रियान्वयन कर सकते हैं।
the concept is not a universal hit	इस विचार को सभी जगहों पर समर्थन नहीं मिला।
in nevada where about 50 volunteers cars were equipped with the devices not long ago drivers were uneasy about the government being able to monitor their every move	नेवाडा में जहाँ कुछ ही समय पहले 50 स्वैच्छिक कार चालकों की कारों पर इस डिवाइस को लगाया गया था चालक इस बात को सोच कर बहुत अधीर थे कि सरकार उनके प्रत्येक कदम को मॉनीटर कर सकती है।
concerns about big brother and those sorts of things were a major problem said alauddin khan who directs strategic and performance management at the nevada department of transportation	नेवाडा परिवहन विभाग में रणनीतिक तथा कार्यनिष्पादन प्रबन्धन को निर्देशित करने वाले अलाउद्दीन खान कहते हैं बिग ब्रदर तथा उसी प्रकार की अन्य चीजों के बारे में चिंता प्रमुख समस्या थी।
it was not something people wanted	यह ऐसी चीज नहीं है जिसे लोग चाहते थे।
as the trial got underway the aclu of nevada warned on its website it would be fairly easy to turn these devices into fullfledged tracking devices	परीक्षण के आगे बढ़ने के साथ ही नेवाडा के एसीएलयू ने अपनी वेबसाइट पर चेतावनी दी थीः इन डिवाइस को पूर्ण ट्रैकिंग डिवाइस में परिवर्तित करना काफी हद आसान होगा।
there is no need to build an enormous unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals everyday comings and goings	विशाल अप्रबंधनीय प्रौद्योगिकी ढाँचासंरचना विकसित करने की कोई आवश्यकता नहीं है जिसे प्रत्येक व्यक्ति के रोजाना आनेजाने का रिकॉर्ड रखने के लिए अवश्यंभावी रूप से फैलाना पड़े।
nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven but not exactly where and at what time	नेवाडा उन बहुत से राज्यों में से है जो वहनीय प्रौद्योगिकी प्राप्त करने के लिए हरसंभव प्रयास कर रहा है जिसकी सहायता से राज्य इस बात का विवरण प्राप्त कर सके कि कार कितने मील प्रतिदिन चल रही है लेकिन यह नहीं कि वह कहां और किस समय चल रही है।
if you can do that khan said the public gets more comfortable	खान ने कहा कि यदि आप ऐसा कर सकते हैं तो लोग अधिक सहज महसूस कर सकते हैं।
the hunt for that technology has led some state agencies to a small california startup called true mileage	इस प्रौद्योगिकी की तलाश ने कुछ राज्य एजेन्सियों को ट्रू माइलेज नामक छोटे कैलीफोर्निया स्टार्टअप के पास पहुंचाया।
the firm was not originally in the business of helping states tax drivers	यह फर्म मूल रूप से राज्य कर चालकों की सहायता करने के व्यवसाय में नहीं थी।
